                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02175,                 5.4364,                  3.068,                0.44397,                0.47776,                0.42264,                0.23923,                   0.02,                 3.5766,                 3.0917,              0.0010199,              0.0009998,              0.0009998
                      2,                0.02112,                 4.4569,                 3.0455,                0.57604,                0.55001,                0.55631,                0.33374,                0.01918,                 2.7035,                  3.029,               0.000975,               0.000975,               0.000975
                      3,                0.02052,                 4.0753,                 3.0149,                 0.6601,                0.59903,                0.63424,                0.39679,                0.01763,                 2.4159,                  2.916,                0.00095,                0.00095,                0.00095
                      4,                0.02017,                 3.8044,                 2.9753,                0.69515,                0.63173,                0.67643,                 0.4218,                0.01762,                 2.2189,                 2.8755,             0.00092501,             0.00092501,             0.00092501
                      5,                0.01994,                  3.645,                 2.9473,                0.73676,                0.62368,                0.70387,                0.43654,                0.01773,                 2.1792,                 2.8829,             0.00090001,             0.00090001,             0.00090001
                      6,                0.01978,                 3.5489,                 2.9401,                0.68996,                0.65306,                0.68608,                0.44302,                0.01683,                 2.0378,                  2.812,             0.00087501,             0.00087501,             0.00087501
                      7,                0.01959,                 3.4168,                 2.9174,                0.78022,                0.66971,                0.75164,                0.48163,                0.01665,                 1.9077,                 2.7875,             0.00085001,             0.00085001,             0.00085001
                      8,                0.01939,                 3.3319,                 2.9133,                0.81009,                0.69928,                0.77264,                0.49269,                0.01693,                 1.8285,                 2.8095,             0.00082502,             0.00082502,             0.00082502
                      9,                0.01925,                 3.2451,                 2.8863,                0.82985,                0.69361,                0.77298,                0.50342,                0.01668,                 1.7992,                 2.7628,             0.00080002,             0.00080002,             0.00080002
                     10,                0.01903,                 3.1661,                 2.8783,                0.82433,                0.70815,                0.79263,                0.51926,                0.01642,                 1.7068,                 2.7399,             0.00077502,             0.00077502,             0.00077502
                     11,                 0.0191,                 3.1312,                 2.8795,                0.82054,                0.71377,                0.79518,                 0.5272,                0.01611,                 1.6692,                 2.7158,             0.00075002,             0.00075002,             0.00075002
                     12,                0.01888,                 3.0707,                  2.868,                 0.8361,                0.72466,                 0.8119,                0.53718,                0.01587,                 1.6507,                  2.706,             0.00072503,             0.00072503,             0.00072503
                     13,                0.01882,                 2.9981,                 2.8473,                0.84767,                0.72732,                0.81433,                0.53695,                0.01607,                 1.5839,                   2.71,             0.00070003,             0.00070003,             0.00070003
                     14,                0.01877,                 2.9575,                 2.8507,                0.84743,                0.72908,                0.81834,                0.54445,                0.01589,                 1.5976,                 2.6737,             0.00067503,             0.00067503,             0.00067503
                     15,                0.01869,                 2.9074,                 2.8345,                0.86879,                0.73735,                0.82973,                0.55894,                0.01563,                 1.5144,                 2.6539,             0.00065004,             0.00065004,             0.00065004
                     16,                0.01862,                 2.8828,                 2.8283,                 0.8506,                0.74843,                0.82854,                0.56173,                0.01563,                 1.5015,                 2.6567,             0.00062504,             0.00062504,             0.00062504
                     17,                0.01856,                  2.855,                 2.8175,                0.86037,                0.75118,                0.83626,                 0.5709,                0.01534,                 1.4389,                 2.6303,             0.00060004,             0.00060004,             0.00060004
